iter	Passed	Remaining
0	1	161
1	3	163
2	4	151
3	5	138
4	7	140
5	8	137
6	10	135
7	11	132
8	12	129
9	14	128
10	15	126
11	18	134
12	19	131
13	21	129
14	22	128
15	24	126
16	25	123
17	26	121
18	28	119
19	29	117
20	30	115
21	32	114
22	33	112
23	35	111
24	36	109
25	37	107
26	39	105
27	40	103
28	41	102
29	43	100
30	44	99
31	45	97
32	47	96
33	48	94
34	50	93
35	51	91
36	52	90
37	54	88
38	55	86
39	56	85
40	58	83
41	58	81
42	59	79
43	61	78
44	62	76
45	63	74
46	65	73
47	66	71
48	67	70
49	68	68
50	70	67
51	71	66
52	72	64
53	74	63
54	74	61
55	76	59
56	77	58
57	78	57
58	80	55
59	81	54
60	82	52
61	84	51
62	85	50
63	86	48
64	88	47
65	89	46
66	90	44
67	92	43
68	93	41
69	94	40
70	95	39
71	97	37
72	98	36
73	99	35
74	100	33
75	102	32
76	103	30
77	104	29
78	106	28
79	107	26
80	108	25
81	110	24
82	111	22
83	112	21
84	113	20
85	115	18
86	116	17
87	117	16
88	119	14
89	120	13
90	122	12
91	124	10
92	125	9
93	127	8
94	128	6
95	129	5
96	130	4
97	132	2
98	133	1
99	134	0
