iter	Passed	Remaining
0	165	165282
1	167	83389
2	168	56041
3	169	42314
4	171	34148
5	173	28672
6	174	24762
7	176	21840
8	177	19546
9	178	17719
10	180	16210
11	182	14991
12	183	13939
13	184	13024
14	186	12243
15	187	11557
16	189	10946
17	190	10403
18	192	9915
19	193	9480
20	194	9087
21	196	8731
22	197	8402
23	199	8098
24	200	7824
25	202	7568
26	203	7327
27	204	7104
28	206	6898
29	207	6715
30	209	6537
31	210	6373
32	212	6222
33	213	6078
34	215	5941
35	216	5808
36	218	5681
37	219	5562
38	221	5450
39	222	5340
40	224	5242
41	225	5146
42	227	5053
43	228	4960
44	229	4873
45	231	4790
46	232	4708
47	233	4634
48	235	4562
49	236	4492
50	237	4425
51	239	4362
52	240	4300
53	242	4241
54	243	4183
55	245	4131
56	246	4081
57	248	4033
58	249	3982
59	251	3934
60	252	3885
61	253	3842
62	255	3799
63	256	3756
64	258	3713
65	259	3672
66	260	3631
67	262	3594
68	263	3558
69	265	3521
70	266	3491
71	268	3461
72	270	3429
73	271	3398
74	272	3366
75	274	3334
76	275	3304
77	277	3275
78	278	3246
79	279	3219
80	281	3192
81	282	3164
82	283	3131
83	284	3106
84	286	3080
85	287	3055
86	288	3031
87	290	3008
88	291	2985
89	293	2963
90	294	2942
91	296	2923
92	297	2902
93	298	2880
94	300	2861
95	301	2842
96	303	2822
97	304	2803
98	305	2783
99	307	2766
100	308	2748
101	310	2731
102	311	2715
103	313	2697
104	314	2680
105	315	2664
106	317	2646
107	318	2631
108	319	2615
109	321	2599
110	322	2583
111	324	2569
112	325	2554
113	326	2540
114	328	2527
115	329	2513
116	330	2497
117	332	2484
118	333	2472
119	335	2458
120	336	2445
121	337	2431
122	339	2420
123	340	2408
124	342	2396
125	343	2383
126	344	2369
127	346	2357
128	347	2345
129	348	2334
130	350	2323
131	351	2312
132	352	2300
133	354	2289
134	355	2279
135	357	2268
136	358	2258
137	359	2246
138	360	2235
139	362	2226
140	363	2216
141	364	2203
142	366	2194
143	367	2185
144	369	2176
145	370	2167
146	372	2158
147	373	2149
148	374	2141
149	376	2131
150	377	2123
151	379	2115
152	380	2106
153	382	2099
154	383	2091
155	385	2083
156	386	2075
157	387	2067
158	389	2058
159	390	2049
160	391	2039
161	392	2031
162	394	2024
163	395	2016
164	397	2010
165	398	2003
166	400	1995
167	401	1988
168	403	1982
169	404	1975
170	405	1968
171	407	1962
172	408	1954
173	410	1948
174	412	1942
175	413	1936
176	414	1929
177	416	1922
178	417	1915
179	419	1909
180	420	1901
181	421	1896
182	423	1889
183	424	1882
184	426	1877
185	427	1871
186	429	1865
187	430	1859
188	431	1853
189	433	1847
190	434	1842
191	436	1836
192	437	1830
193	439	1824
194	440	1819
195	442	1814
196	443	1808
197	445	1802
198	446	1797
199	447	1791
200	449	1785
201	450	1779
202	451	1773
203	452	1767
204	454	1763
205	456	1758
206	457	1753
207	459	1748
208	460	1743
209	461	1737
